County,Date,Statute,Page
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-156,13
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-187(b),13
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-283,14
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-284,14
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-290,14
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-690.2membersmaynotcoveraistedareasin20-2-690.2(c)(1-14),14
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-85,14
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-86,14
Marion County SWSS Contract Signed,"June 30, 2026",160-4-2-.05,14
Marion County SWSS Contract Signed,"June 30, 2026",160-4-2-.12,15
Marion County SWSS Contract Signed,"June 30, 2026",160-4-2-.48,15
Marion County SWSS Contract Signed,"June 30, 2026",160-4-2-.38,15
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-151,15
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-167,16
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-168(c),16
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-182,16
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-182(h),16
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-184.1,16
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-200,16
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-201,17
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-204,17
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-211,17
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-212,17
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-218,17
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-86,18
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-940,18
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-942,18
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-948,18
Marion County SWSS Contract Signed,"June 30, 2026",160-4-4-.01,18
Marion County SWSS Contract Signed,"June 30, 2026",160-4-8-.05(2a),18
Marion County SWSS Contract Signed,"June 30, 2026",160-5-1-.22,19
Marion County SWSS Contract Signed,"June 30, 2026",160-5-3-.08,19
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-160(a),19
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-182,19
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-201,19
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-204,20
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-218,20
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-167,20
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-151,20
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-171,21
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-160,21
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-161,21
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-183,21
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-184,21
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-185,21
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-186,22
Marion County SWSS Contract Signed,"June 30, 2026",§ 20-2-411,22
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-140.1(studenttodevice),13
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-142,13
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-151wiasoutiizethiswaivertoprovidefexibiitytothe180,13
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-151.2,13
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-154,13
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-154),13
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-154.1,14
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-155,14
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-156,14
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-187(b),15
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-187,15
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-283,15
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-284,15
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-290,16
Glynn County SWSS Contract Signed,"June 30, 2026",§ 20-2-690.2,16
Glynn County SWSS Contract Signed,"June 30, 2026",160-4-2-.05,16
